"Ulasan","Performa","Pemesanan","Pembayaran","Fitur","Tampilan","Umum"
"Sejak diupdate malah makin mudah Aplikasinya ga lemot lagi. mudah sekali ketika cek tiket dan ketika menyelesaikan step by step setelah isi data penumpang. Update terbaru ini sangat membantu saya puas","Positif","","","Positif","","Positif"
"baru tau kai access ada pembaruan. pas mau pesen tiket aplikasinya lancar banget","Positif","Positif","","","",""
"Mudah, lancar pembayarannya....yg tdk punya atm ,bisa melalui indomart,alfamart.....mantap","","","Positif","","",""
"Setelah update palah makin baik.. Apk ringan lancar tidak lemot","Positif","","","","",""
"Lancar bettt","","","","","","Positif"
"Setelah update jadi mudah buat login, ga butuh waktu yang lama untuk login. Keren nih app terupdatenya","Positif","","","","","Positif"
"Makin di upgrade makin lancar pesen tiket juga makin mudah, tapilan nya juga lebih mordern suka bgt lebih fress","","Positif","","","Positif",""
"Abis tak update tampikan baru malah makin bagus dan jadi makin lancar, mw cari tiket juga gampang","Positif","","","","Positif",""
"Lebih mudah digunakan yg tampilan lama, yg baru lebih ruwet","Konflik","","","","Konflik",""
"Semakin memberikan kemudahan customer update an yg baru ini. Bintang 5 buat update an terbarunya kai udah ga lemot lagi jadi jos mantp is the best lancar jaya. Lebih suka aplikasi terbaru ini karena mudah dimengerti oleh customer/pengguna","Positif","","","Positif","",""
"Versi baru lebih ga lemot ... loadingnya ga pke lama buat akses masuk aplikasinya, pindah"" menu jg ga lemot","Positif","","","","",""
"Sudah bagus fitur lama. Sekarang mau melakukan pemesanan tidak dapat mengakses terus.","Negatif","Negatif","","","",""
"Diperbarui malah lebih baik & malah memudahkann. Mau upgrade ke basic pake akun yang lama mudah lancar jaya langusugn bisa. Bintang 5","Positif","","","","","Positif"
"UI klo belom mateng gausa di launching","Negatif","","","","","Negatif"
"Sangat lancar buat pesen tiket kereta, bookng hotel juga bisa lewat kai sekrang","","Positif","","","","Positif"
"Aplikasi diperbarui makin ga susah buat masuk. seblumny tiap masuk selalu bendal atau kalau bisa masuk, mutarnya lama sekarang dah lancar dan normal lagi. Tulung diperbaiki servernya juga.","Konflik","","","","",""
"Di upgrade tambah satset","Positif","","","","",""
"Ga nyesel upgrade ke versi baru, awalnya berkali2 coba masuk tetep aja g bisa login setelh upgrade mudah login","Positif","","","","","Positif"
"byk promonya jg ni abis di perbarui pesen tiket dpat harga promo kan jadi enak ya","","Positif","","","","Positif"
"Aplikasi aman lancar jaya & Membuat Pelanggan KAI Semakin mudah Dengan Update Ini.","Positif","","","","","Positif"
"Diperbarui makin bagus, lancar trus fiturnya juga banyak dan lengkap jadi pesen tiket kereta bisa seklain pesen hotel beli kuota internet juga","","Positif","","Positif","","Positif"
"app nya mudah untuk diakses mau cari dan pesen  tiket juga mudah","Positif","Positif","","","",""
"setelah di upgrade malah jadi lancar. aplikasi nya buka jadwal/pembayaran malah jadi lebih cepet","Positif","","","Positif","",""
"Otomatis terupdate, versi baru memudahkan, lebih lancar. Mau pesan tiket jadi mudah kearena saya PP kerja naik commuter","Positif","Positif","","","",""
"Aplikasi baru alhamdulillah.... lancar Mau pesen tiket ka lokal jadi lebih gampang","","Positif","","","","Positif"
"Ko tiba tiba update kaget ama logo dan mana barunya tapi jadi makin lancar sihh","Positif","","","","Konflik",""
"Setelah update jadi lancar, tapi tampilan antarmukanya bagusan yang sebelumnya","Positif","","","","Negatif",""
"GOOD buat pemerintah apk kai terbru kualitasnya bagus cepet jg","Positif","","","","","Positif"
"Kualitas semakin menurun. Sebaiknya lebih diperbaiki lagii","Negatif","","","","",""
"Biasanya lemot poll...tapi setelah update malah lancar teros","Positif","","","","",""
"semenjak update aplikasi jd ringan dan lancar bet","Positif","","","","",""
"Habis di update jadi mudah diakses, bagus versi terbaru daripada sebelumnya kaga lemot","Positif","","","","","Positif"
"Aplikasinya tidak familiar, mending yang lama","","","","","","Negatif"
"sangat tidak ramah untuk penggunaan pembelian tiket harusnya cuman isi data diri ,pilih kursi, langsung bayar sekarang ada pembelian makanan , tiket transportasi dll sangat menganggu proses transaksi harusnya di pisah dari tools utama yaitu pembelian tiket jangan di selipi untuk pesan makanan maupun akomodasi transportasi. terimakasih","","","","Negatif","",""
"Lancar banget... Mau melakukan pembayaran juga gamapng","Positif","","Positif","","",""
"Lebih suka tampilan app yg dulu","","","","","Negatif",""
"Sudah tidak ada kendala lagi buat pesen tiket kereta pake aplikasi kai ini jadi makin mudah dan cepet","Positif","Positif","","","",""
"baru di update apknya lancar terus, ga bikin nggu makin lama","Positif","","","","",""
"Iya sih makin lancar tapi aplikasi yang baru tidak efektif dalam pemilihan kursi. Tampilan kursi mending di aplikasi yang lama lebih efektif dan efisien","Positif","","","Negatif","",""
"Update otomatis, biasa nya tiket kereta yang sudah habis ga ditampilin ini yang sudah habis ditampilin kirain masih tersedia","","","","Positif","",""
"Diupdate jdi makin lancar, tak kasih bintang 5 deh buat aplikasi ini","Positif","","","","","Positif"
"Jarang banget ngasi Ulasan gini, tp ini fix super lemot banget, kukira semakin baik, eh cuma tampilannya doang, masa mau buka apk aja lemot poll, kalo kek gini, kan gak bisa bur"" buka pas mau scan barcode ya","Negatif","","","","Positif",""
"Aplikasinya Lebih bagus daripada sistem yang lama","","","","","","Positif"
"Masih bagus yang lama. Setelah di-update malah bobrok","","","","","","Negatif"
"Ada pembaruan bukannya tambah oke malah buruk","","","","","","Negatif"
"Malah semakin bagus dan lancar banget aplikasi nya di versi terbaru ini...","Positif","","","","","Positif"
"sat sett ","Positif","","","","",""
"Aplikasi setelah update justru gak jelas, semakin ribet!!","","","","","","Negatif"
"Performany sedikit lebih baik darisebelumnya,,,,","Positif","","","","",""
"tampilan baru makin luncarr","Positif","","","","",""
"Dikomentar lain banyak yang bilagn lemot tapi di akun lancar ini ga lemot samsek","Konflik","","","","",""
"lancar banget tdk kendala wktu mau pembayaran malah jadi efektif","Positif","","Positif","","",""
"Versi lama mempermudah pelanggan, versi baru justru mempersulit pelanggan. Tolong diperbaiki...","","","","","","Konflik"
"Setelah upgrade kok malah susah banget ya masuk aplikasinya..semoga segera di benahi aplikasi ini.","","","","","","Negatif"
"Mau naik kereta api bookingnya makin mudah, aplikase lancar.. ","Positif","","","Positif","",""
"KAI access yang udah di update ga banyak errornya udah lancar juga","Positif","","","","",""
"Udah normal apanya, ini aku mau masuk suruh masuk pakai email lagi. Bad bgt KAI access yg baru, menyulitkan customer.","","","","","","Negatif"
"Aplikasi sangat tidak rekomendasi. Harusnya kan pake palikasi supaya praktis ini malahan menjadi buangÂ² waktu dan gak bisa dipake. BenerÂ² gak efisien waktu. Tolong dong IT KAI diperbaiki.","Negatif","","","","","Negatif"
"PP kerja pake ka diupdate ini malah lancar, saya pelanggan setia kai jdiin aku BA dong ehehe","Positif","","","","",""
"Update malah tambah lancar","Positif","","","","",""
"lancar bgt...","Positif","","","","",""
"Tampilan baru malah semakin buruk..","","","","","Negatif",""
"keren kok, aq suka","","","","","","Positif"
"Habis di upgrade lancar bgt. ga nyesel update, mungkin kalo masih lemot update aha","Positif","","","","",""
"Aplikasiny sudah lancar kok guys yagn versi bru ini, abis update tadi aku pesen tiket dan bayar pke ovo sampe liat e-boaridngnya lancar","Positif","","","","",""
"Di upgrade harusnya lebih bagus, ini malah jadi ribet. Padahal yang sebelumnya udah user friendly.","","","","","","Negatif"
"Setelah aplikasi diupdate semakin lancar bgt. Sangat memudahkan.....","Positif","","","","","Positif"
"Semenjak update jadi tidak berat tapi tampilan ui nya saya ga nyaman","","","","","Negatif","Positif"
"Emang boleh selancar ini????","Positif","","","","",""
"Tolong ini aplikasi nya banyak banget gangguannya. Please fix","","","","","","Negatif"
"Di Update Bukan Nya Makin Bagus , malah Makin Buriq","","","","","","Negatif"
"Di update bukannya makin bagus malah makin buruk. Tidak se simpel praktis dulu. Banyak iklan.","","","","Negatif","","Negatif"
"Bagus.... benr2 bagus baik performa & tampilan","Positif","","","","Positif",""
"Jauh lebih bagus performany....","Positif","","","","",""
"SATSET banget aplikasinya,bisa buat buruÂ² liat jadwal kereta. Masih mending aplikasi yang sekarang daripada yang dulu","Positif","","","","",""
"Sudah byk plusnya daripada yang lama metode pembayaran jg banyk beli tiket k.a jadi sangat mudah bgt lacar jg","","","Positif","","","Positif"
"Aplikasi KAI gapernah bener emang, gimanasih tim IT-nya nih ah elah","","","","","","Negatif"
"baru update malah ngga jelas","","","","","","Negatif"
"Dalam proses pemesanan tiket lebih mudah dan tdk memakan waktu memakan wkatu lama lebih baik daripada versi yang dulu","","Positif","","","","Positif"
"Update nya bagus, bagus bgt, apalagi tampulannya jadi lebih baru ","","","","","Positif","Positif"
"Shapppp bos udah lancar kok","Positif","","","","","Positif"
"Pembayaran ga ribet pake kaipay makin mempermudah user kai buat pesen tikt sih ini fiturbarunya satset parah lagi","Positif","","Positif","Positif","",""
"Aplikasi terupdate otomatis, tapi terupdate bukannya lebih baik menurutku lebih susah si, enak yang kemaren, jadi g tambah flexible, ayo balik kayak kemaren aja donk","","","","","","Negatif"
"Udah update versi terbaru tampilanya GEMESSSSS banget sukaa malah lancarr banget juga","Positif","","","","Positif",""
"Tidak megnecewakan siii setelah di update malah satset parah. Ada prommo kemerdekaan jgu sangat membantu sekali tengkyu kai","Positif","","","Positif","",""
"aplikasi g guna, klo g bisa meng operasikan aplikasi mending offline aj, malah di tiadakan offline","","","","Negatif","","Negatif"
"Gini dong lancar severny yg kemaren kok koneksinya timeout terus,    kalo diplikasi yg baru bisa sat set pesen tiket","Positif","","","","","Positif"
"jadi ngga bisa cek jadwal krl, aplikasi malah jd lebih rumit, simple yg versi lama","","","","Negatif","",""
"kalau sistem belum selesai harusnya jangan publikasi malah jadi repot","","","","","","Negatif"
"Update bukannya mempermudah malah mempersulit. Aneh","","","","","","Negatif"
"Setelah di update jadi lebih baik ngga zonk lagi baik dari performa fitur""nya dll. tampilan dan pengoperasian jugalebih efisien versi terbaru sumpah, versi lamanya nyebelin. Aneh","Positif","","","Positif","Positif",""
"Apk terbaru kebanyakan menu","","","","Negatif","",""
"Yang saya rasakan lebih bagusan yang sekarnag daripada yang dulu, soalnya abis di upgrade aman lancar jaya","Positif","","","","","Positif"
"Aplikasi yang terupdate sekarng makin lancar dan tdk ada bugnya, bug yg di versi sebelum ny sudah tdk ada","Positif","","","","",""
"Dari segi performa kai accsess terbaru lbih baik daripada seblumnya, booking tiekt makin mudah dan bayarnya bisa pake Qris ada fiturbuat pesen hotel juga lengkap","Positif","","Positif","Positif","",""
"Aplikasinya update sendiri, tp setelah ter update tidak bisa lagi melihat jadwal kereta.","","","","Negatif","",""
"Ini downgrade bukan upgrade. Bad","","","","","","Negatif"
"Stelah saya updte lagi app nya udah lebih lancar   pemesanan tiket commuter line sudah tidak eror lagi","Positif","Positif","","","",""
"Cari tiket nya jadi sedikit menyusahkan, harus drop down dulu, kurang jelas tiket mana yg available, lebih jelas tampilan di versi sblm nya.. dan jadi tidak bisa sorting tiket yg available menurut harga,dsb.. Yg tersorting hanya judul besar tiket.. saran nya mungkin dikembalikan saja tampilan tiket nya seperti versi sebelumnya, menurut saya itu sudah sangat jelas","","","","Negatif","Negatif","Negatif"
"KAI access terupdete fiturnya makin lengkp tapi ga lemot  dan lancar juga,,pesan tiket kereta lancar seperti biasanya","Positif","Positif","","","",""
"Setelah di update malah jadi lancar sekali, good job tim IT ","Positif","","","","","Positif"
"Apk nya sekarang sudah tidak sering crash, jadi waktu mau memesan tiket selalu lancar tidak kehabisan waktu, pembayarannya juga mudah dg menggunaakn qris","Positif","Positif","Positif","","",""
"Udah bisapake Qris di kai access aya suka dengan pembayaran Qris jadi lebih simpel ditambah uga aplikasinya makin satset","Positif","","Positif","","",""
"makin pusing pakek aplikasi kai acces yg baru... saran saya pertahankan yg dulu saja.... kasiancalon pnp yg tua","","","","","","Konflik"
"kaai acces sya udah pesen tiket dan bayar pke qris dana memudahkan banget","","Positif","Positif","","",""
"Update terbaru mlah tmabah lancar deh, walaupun tadi ada ssedikit kendala pas mau login tp selanjurnya lancar kok, suka dnegan pessan tiket online bisa pilih tempat duduk jg","Positif","Positif","","","",""
"Kualitas makin bagus mudah di akses. Mau pesan tiket jadi lebih mudah","Positif","Positif","","","",""
"Tolong atuh perbaiki kualitas nya kan banyak yang pake aplikasi ini seharusnya lebih ditingkatkan lagi. Jangan tiba tiba keluar sendiri akun nya trs susah login lagi nya loading nya lama banget ampun","Negatif","","","","","Negatif"
"fiturnya lebih ribet & membingungkan . lebih simpel aplikasi sebelumnya . ,ðŸ™","","","","Negatif","","Negatif"
"aplikasi menjadi lebih lancar sesudah di update, smuanya lancar dan cepat, mudah login, mudah booking, yang dulu lemot muter terus saya pernah nunggu hampir 1 jam bulak balik masih saja lemot, untung sekarnag sudah di update lebih memudahkan booking tiket online","Positif","Positif","","","",""
"Iya.. Aplikasi KAI ini jelekkk bangettt.. masa email & password udh bnr, tulisannya invalid token.. password udh direset & diganti juga masih tetep aja invalid token.. jadinya ga bisa dibuka.. ya mending uninstall aja..","","","","","","Negatif"
"KAI update otomatis di hp saya seltah saya buka dan ccoba versi barunya emang lebih user freandly,,,, syaa juga langsung pesan tiket untk kebernagkatan ke surabaya dg commuterline wah dari pencarian, pemesanan dan bayarnya mudah bettt lancar. suwun kai","Positif","Positif","Positif","","","Positif"
"Masih mudah dan gampang di pahami aplikasi yg terbaru,,","","","","Positif","","Positif"
"Secara user interface lebih baik yang sebelumnya, mungkin ya memang lebih terkesan modern atau bagus dipandang. Namun sedikit saran untuk bagian pemilihan tiket apabila semua tiket pada kategori tersebut habis makan seharusnya otomatis turun atau pindah ke bawah seperti dulu, serta harusnya ada perubahan harga dari harga mulai dari menjadi tiket paling murah yang tersedia sehingga lebih memudahkan percarian tiket sesuai kebutuhan.","","","","Negatif","Konflik",""
"makin BURIK, pindah ke sebelah aja lah","","","","","","Negatif"
"Sangat mudah di akses dan performanya semakin lancar","Positif","","","","","Positif"
"Saya pelanggan setia kai merasa paus dengan versi terbaruny memudahkan dlm segala hal pesan tiket mudah, cek tiket kereta mudah, bayrnya mudah, fitur tambahan yng juga berguna bagi saya. salutnya dg tambahan fitur yg banyak tpai masih lancar terus ga lemot lemot","Positif","Positif","Positif","Positif","",""
"Good job KAI aplikasinya jadi lancar banget, pemesanan cepat bgt, di upgrade jd lebih baik dan lebih mudah diakses","Positif","Positif","","","","Positif"
"Pake aplikasi dulu setiap mau pesan tiket sering gagal tapi diaplikasi sekarang selalu berhasil dna lebih cepet juga tidak lemot","","Positif","","","",""
"Kalo dibandingin kai yg dulu sama sekarang beda bgt dari segi performa nya makin lancar dari pesen tiket, bayarnya, tmpilannya menarik juga ditambah fitur2 terbaru yg bermanfaat bangett menurut saya","Positif","Positif","Positif","Positif","Positif",""
"Selain apknya udah gak lemott lagi dan makin satset.... aku jg suka saat pesen tiket buat pilih kursinya lebih enak aja di versi skarang  daripada dulu","Positif","Positif","","","",""
"metode pembayaran sangat terbatas, tidak ada fitur ganti nomor padahal nomor sudah tidak aktif, tidak ada tombol pembayaran jika tidak sengaja keluar dr aplikasi","","","Negatif","","",""
"Waktu may Bayar sudah tidak loading terus lebih baik dari seblum ny performa nya meningkat","Positif","","Positif","","",""
"Upgrade baru tambah ribet.mending pakai aplikasi lama lebih mudah","","","","","","Konflik"
"Apk versi lama suka lama kalo udah masuk ke pembayaran tapi versi baru ini jadi lebih lancr dan mduah buat cari & pesen tiektnya","","Positif","Positif","","",""
"udah update, ui yang baru tapi kualitas makin buruk. mau lihat jadwal krl dari jalur rangkas - tanah abang aja gak bisa","","Negatif","","","Negatif",""
"Ribet, lebih gampang yang lama","","","","","","Negatif"
"Aplikasi kaiacces ada update semakin simpel dan mempermudah. makin lancar dan ga lemot juga","Positif","","","Positif","",""
"Semenjak pembaruan sudah tidak ngelag, touchscreen responsif, lancar. suka jg ama fitur2 tambahnnya jadi app yg lebih multifungsi","Positif","","","Positif","",""
"Di update malah lancar bangettt yg dulu rada"" lemot soal ny,,,,,,buat pesen tiket & bayrnya lbh mudah skrang","Positif","Positif","Positif","","",""
"Msh blm familiar dengan tampilan barunya","","","","","Konflik",""
"Untuk update aplikasi nya lancar bangett, tapi lebih enak dilihat yang dulu tampilan menu aplikasinya","Positif","","","","Negatif",""
"Upgrade Yang baru bagus dan lancar di pembayaran pake qris nya juga lancar","","","Positif","","","Positif"
"lancar dan satset bisa diajak buru2 kalo ada panggilan mendaadak kan jadi enak kalo satzt gini","Positif","","","","","Positif"
"tampilan interface tidak ramah setelah update ngga suka bgtt bikin mata sakit,,, untung makin lancar pesen tiket nya mudah bayarnya juga bisa pake ovo, soalnya saya user ovo bangwt","","Positif","Positif","","Negatif",""
"Lebih baik jangan di-update dulu, memang dari segi UI bagus, cuma masih banyak eror","Negatif","","","","Positif",""
"Sudah terupdate harusnya lebih baik. Pas cek stasiun antar kota malah banyak yg gk ada","","","","","","Negatif"
"Mata saya lebih nyaman dengan warna biru khas KAI daripada yang ungu","","","","","Negatif",""
"Update sangat tidak nyaman Memang tampilan lebih baik Tapi buat apa tampilan baik kalo malah jadi lebih ribet Tolong tampilkan harga tiket per kelas bukan per nama kereta Sangat menyusahkan Dan tolong kembalikan filter kelas pada filter pencarian","","","","Negatif","Positif",""
"Darisegi perfroma lbh baik dari versi seblmunya, suka bgt sama tampilan barunya","Positif","","","","Positif",""
"KAI access yang udah di update errornya udah ngga erorr udah normal semua mulai pesen tiket, pembayaran dll nya","Positif","Positif","Positif","","",""
"Semenjak update aplikasi udah ngak lemot,,tapi tampilan membingungkan. Kereta yang penuh masih muncul untungnya pesen tiket sama bayar nya aman dan gampang bgt.","Positif","Negatif","Positif","","Negatif",""
"sataset banget coyyy..","Positif","","","","",""
"Udah gk lemot lagi mau mesen tiket lokal tiket antarkota semua pake online tapi apk nya lancar parah gk lemot. jadi makin memudahkan juga setelah diperbarui huhuhhu suka....","Positif","Positif","","","",""
"satset parah solusi kalo lagi urgent","Positif","","","","",""
"Semenjak upgrade makin lancar untuk pembayaran makin memudahkan","Positif","","Positif","","",""
"Versi baru memang lebih menarik dengan tanpilan dan fitur baru, saya pesen tiket goshow langsung dapet ga ada lagi tuh macet lemot semua lancar2 aja. kalo saya suka dg pembayaran qrisnya lebih  simepl","Positif","Positif","Positif","Positif","",""
"Tampilannya lebih suka yang dulu Lebih iconic ðŸ™ƒ","","","","","Negatif",""
"Aplikasinya lebih cepat dari pada yang aplikasi lama","Positif","","","","",""
"Buat skrang yg semua serba online kai access verisi terbaru memudhkan usernya buat pesen tiket bayarnya jg secara online, approve buat kai","","Positif","Positif","","","Positif"
"Coba dihilangkan aja fitur yang nggak relate sama KAI kayak beli paket data, pulsa dan token listrik biar aplikasi ini semakin efisien dan mengurangi beban server juga sehingga nggak overload ketika lagi banyak yang ngakses atau war tiket.","","","","Negatif","",""
"Satset parah bgt","Positif","","","","",""
"lebih user friedly yang versi sebelumnya","","","","","","Positif"
"Aplikasinya sangat mudah di gunakan tambah bagus dan tidak lemot","Positif","","","","Positif","Positif"
"Sy lebih suka tampilan KAI mobile yang lama! Tampilan yang baru ini setelah di upgrafe jadi lwbih ribet , ga sesimple seperti sebelumnya. apk KAI yg sblmnya kalau tiket sudh habis ga ada di tampilkan di bagian list. Sekarang ini , udh habis pun tiket nya tp masi aja muncul di bagian list -_-","","","","","Konflik",""
"aplikasi acces by kai lebih lancar daripada aplikasi lama.","Positif","","","","",""
"Tampilan baru. Bukan lebih mempermudah tapi lebih mempersulit. Kasian kalo orang awam untuk melakukan pemesanan lewat apk kai access.","","Negatif","","","Negatif",""
"Setelah update jadi user friendly dan ga ribet. Qris juga udah ke detect waktu bayar, ga perlua waktu laama buat bayarnya cpeet langsugn bisa sleesai","","","Positif","","","Positif"
"enakan yg sekarang aplikasinya lancar ga l emot, tampilan lebih kelihatan seger ga ngebosenin","Positif","","","","Positif",""
"Mudah buat cari dan pesen tiket, kemarin udah transaksi Qris sukses tiket buat besok PP sangat memudahkan ga perlu bingung2 lagi....","","Positif","Positif","","",""
"Mau masuk lancar bgt, proses ke pembayaran juga lancar, sampai- sampai waktu pembayaran hanya butuh waktu yang cepet ga lama. Ini aplikasi super lancar dari segala2nya","Positif","","Positif","","","Positif"
"Diupgrade malah tambah lancar,dari proses login sampe pambayran tiket","Positif","Positif","Positif","","",""
"Terima kasih, setelah di update kembali baru bisa di pakek","","","","","","Positif"
"perbaikin apknya bagus sekali pesan ka lokal dah makin mudah dripada yang dulu","","Positif","","","","Positif"
"update jadi ringan dan lebih cepat. UX buat lihat detail harga inovasinya bagus","Positif","","Positif","","",""
"Diupdate malah bisa beli tiket dg mudah... lancar terus... UI nya yg diperbaiki jg lebih keren... lebih baik dari versi yg lama.. versi yg baru bagus banget performanya..","Positif","","Positif","","Positif",""
"Setelah update malah ga lemot masuk nya, dr segi tampilan makin oke dan performanya makin baik","Positif","","","","Positif",""
"Sudah bagus yg lama, di apdet malah butut. Bagaimana ini?","","","","","","Negatif"
"Aplikasii kai setelah diupdate sangat sangatt bagus operasional yang cepat,beda sama aplikasi sebelum diupdate operasionalny lebih lambat,dan sekarang aplikasinya sangat sangat mempermudah saya","Positif","","","","","Positif"
"Aplikasi terupdate otomatis.. Tampilannya skrg tambah ribet dan bikin bingung.. Lebih simpel tampilan yg lama.. Seharusnya klo memang ada update lebih mempermudah..ini malah sebaliknya..","","","","","Negatif","Negatif"
"Upgrade makin meningkat ini tdk lemot ssaat dioperasikan. Makin memudahkan, kemarin ada kendla hubungin lewat sosial di respon dan ditnaggapi","Positif","","","","","Positif"
"Udah maakin lancar ga lemot lagi, tapi tampilan masih enak dulu . Tampilan sekarang kayak pelangi, perpaduan warna kurang cocok","Positif","","","","Negatif",""
"Setelah di update malah makin mudah Untuk metode pembayaran dpt lewat ovo, link aja, dana","","","Positif","","",""
"Upgrade malah makin lancr,tapii interface nya enak yg lama. Mo beli tiket malah jadi blh mudah. Pengguna setia KAI tiap weekend","Positif","","Positif","","Negatif",""
"Setelah upgrade terbaru, sangat memuaskan program ny berubah dan menjadi lebihh memuaskan. Lebih mudah aplikasi yg terbaru daripada yg sblum nya.","","","","Positif","","Positif"
"Aplikasinya kebanyakan fiture jembot, kebanyakan kreatif aplikasinya sampe gabisa di pakai","","","","Negatif","","Negatif"
"POIN PENTING REVIEW KAI ACCESS > ACCESS BY KAI 1. Dari semua yg paling mencolok adalah fitur pemesanan opsi RAILFOOD dan LAYANAN LAINNYA seharusnya tidak perlu masuk, biarkan itu dipesan sendiri. Karena menurut saya jadi tidak efisien saat masa hari raya yang trafic pemesanan tiket padat, apalagi jika dikejar waktu. 2. Kemudian pemilihan kursi, tampilan denah kursi terlalu besar sehingga harus scroll lama dan tidak ramah penggunaan, begitu kiga dengan opsi gerbong yang ada dibawah seperti itu.","","Negatif","","Konflik","Negatif",""
"Sejak diperbarui makin garibet.. Pesen tiket jadi sat set.. ga lemot.. lbih mudah beli tiket di aplikasi skrng.. Hhh.. lebih baik daripada seblumnya.. Thx","Positif","","Positif","Positif","","Positif"
"Setelah Update malah makin lancar g lemot, seblumnya saat masuk ke apk nya lemot bgt,sekarnang yg mau bli tiket atau mau bepergian naik Kereta jdi mudah apalagi yg mau pergi kerja","Positif","","Positif","","",""
"Aplikasi bagus banget setelah di update sudah tidak ada bug dan lancar banget","Positif","","","Negatif","",""
"Keren setelah di update jadi cepet mau buka apknya. Gak cuma itu, mau pencarian juga ceept, kendala2 nya udah berkurangbgt","Positif","","","","","Positif"
"Malah semakin lancar, mudah untuk membuka aplikasinya","Positif","","","","",""
"Aplikasi nya memuaskan loading udaj ga lama dna ga mandang provider kartu. Performa nya udah menignkat jd ga kesusahan pake aplikasi ini","Positif","","","","","Positif"
"semakin canggih ni apk, sekarng kalo mau pesen tiket gausah nulis nama satu1,,, soalnya nama yang sudah pernah masuk keseimpen, jadi tinggal nambahin","","Positif","","","","Positif"
"Udahh Lancar banget buat beli dan cari tiket malah tambah enak dipandaang ux terbaru nya","Positif","Positif","Positif","","Positif",""
"Setelah update yang terbaru tampilan oke, kualitasnya juga bagus banget. Load pas buka appnya juga ga lama, pas mau ke pembayaran juga lancar banget, pembayarannya dapat dilakukan dengan mudah. Ini nih aplikasi yang kita butuhkan cepet, simple, dan mudah.","Positif","","Positif","","","Positif"
"Alamdulillah setelah update akses menjadi lebih lancar, tidak seperti pada aplikasi sebelumnya lemot. Saat memilih kursi timeout tdk perlu nunggu waktu lama & membuang waktu","Positif","Positif","","","",""
"Untuk proses pemesanan tiket lokal cepat banget, utk pembayaran ovo juga mudah","Positif","","Positif","","",""
"Jujur aja lebih bagus dan simpel versi yang lama min.untuk versi terbaru aneh banget tampilan nya bikin bingung dan malah lebih ribet.tolong di perbaiki kalo perlu di bikin tampilan seperti versi yang lama aja.nanti saya tambah bintang nya.","","","","","Konflik","Negatif"
"Alhamdulillah sudah lancar apknya.. emang minta di update trnyata","Positif","","","","",""
"Setelah update jadi makin lancar, untuk buka aplikasinya langsung satset, tpi menurut saya tampilan antarmukanya bagusan yang sebelumnya","Positif","","","","Negatif",""
"jadi makin ribet. bagi orang2 tua ini menyusahkan ya ui ux ny,, kalo dulu lebih sederhana,","","","","Negatif","Negatif","Negatif"
"Saya mau lihat jadwal kereta sekaligus pesan tiket udah lbih mudah.padahal sblmnya lemottt parah pdhal waktu itu lgi urgent..","Positif","Positif","","","",""
"Sudah update jadi makin bagus malah jadi semakin memudahkan, saat pembayaran menggunakan e wallet jadi mudah sekali, Lebih bagus dripada kai access versi lama..","Positif","","Positif","","","Positif"
"Update terbaru, tampilan terbaru,bukanya memperbaiki,malah mempersulit, tiket udah habis ngapain masih pada nongol.. lbh suka tampilan yg lama ,simpel dan tidak beribet","","","","","Negatif","Negatif"
"Saat ini apk nya malah jadi lbh membantu. Loadingnya ga lama samsek, saat mau cek jadwal commuter line mudah sekali mencari nama stasiun . Tdk memakan banyak waktu loading untk menemukN hasil pencarian","Positif","Positif","","","",""
"Tidak bisa memunculkan e-boarding pass dan tmpt duduk, gimana sih hini kai","","","","","","Negatif"
"Parah enak versi dulu. dulu gabingung mau liat tiket yang udah dipesan dimana, sekarang kebanyakan printilan2 yang ga guna banget sumpahhhh","","","","Negatif","Negatif","Negatif"
"Cepat dan informtig","Positif","","","","",""
"awalnya lemot, tpai setelah update jadi tidk sering error","Positif","","","","",""
